vRange: ,200
iLimit: ,0.02
iRange: ,
nplc: ,1,delay: ,0.05
data Number:,501
V_meas,I,abs_I
-0.00653683,-1.11817e-12,1.11817e-12
0.994665,5.3975e-10,5.3975e-10
1.99541,6.13941e-10,6.13941e-10
2.98876,5.73684e-10,5.73684e-10
3.99075,5.41995e-10,5.41995e-10
4.99342,5.0895e-10,5.0895e-10
5.99423,4.897e-10,4.897e-10
6.99529,4.71793e-10,4.71793e-10
7.98853,4.38249e-10,4.38249e-10
8.99067,4.19145e-10,4.19145e-10
9.99137,4.05679e-10,4.05679e-10
10.9932,3.99655e-10,3.99655e-10
11.9943,3.83876e-10,3.83876e-10
12.9975,3.73205e-10,3.73205e-10
13.9903,3.631e-10,3.631e-10
14.9915,3.5613e-10,3.5613e-10
15.9935,3.5422e-10,3.5422e-10
16.9952,3.34095e-10,3.34095e-10
17.9965,3.34331e-10,3.34331e-10
18.9899,3.31826e-10,3.31826e-10
19.991,3.34769e-10,3.34769e-10
20.9935,3.29786e-10,3.29786e-10
21.9948,3.30772e-10,3.30772e-10
22.9955,3.29844e-10,3.29844e-10
23.9899,3.29732e-10,3.29732e-10
24.9915,3.23346e-10,3.23346e-10
25.9928,3.26163e-10,3.26163e-10
26.9939,3.41774e-10,3.41774e-10
27.9954,3.4872e-10,3.4872e-10
28.9969,3.61423e-10,3.61423e-10
29.9909,3.70477e-10,3.70477e-10
30.9923,3.72058e-10,3.72058e-10
31.9935,3.82764e-10,3.82764e-10
32.995,4.05653e-10,4.05653e-10
33.9962,4.22028e-10,4.22028e-10
34.9896,4.26224e-10,4.26224e-10
35.9907,4.55232e-10,4.55232e-10
36.9917,4.75727e-10,4.75727e-10
37.9945,4.98667e-10,4.98667e-10
38.9962,5.22187e-10,5.22187e-10
39.9895,5.54643e-10,5.54643e-10
40.9905,5.9554e-10,5.9554e-10
41.9917,6.43006e-10,6.43006e-10
42.9935,6.8718e-10,6.8718e-10
43.9947,7.26593e-10,7.26593e-10
44.9882,7.73822e-10,7.73822e-10
45.991,8.3786e-10,8.3786e-10
46.9929,8.90491e-10,8.90491e-10
47.9935,9.40764e-10,9.40764e-10
48.9947,8.60131e-10,8.60131e-10
49.9961,7.73097e-10,7.73097e-10
50.9894,9.78677e-10,9.78677e-10
51.9902,1.07526e-09,1.07526e-09
52.9919,1.12405e-09,1.12405e-09
53.9948,1.21525e-09,1.21525e-09
54.9958,1.21255e-09,1.21255e-09
55.9891,1.333e-09,1.333e-09
56.9902,1.35533e-09,1.35533e-09
57.9919,1.52626e-09,1.52626e-09
58.9929,1.81907e-09,1.81907e-09
