vRange: ,200
iLimit: ,0.02
iRange: ,
nplc: ,1,delay: ,0.05
data Number:,16
V_meas,I,abs_I
-0.00238472,-1.62839e-06,1.62839e-06
-0.100818,-4.29864e-05,4.29864e-05
-0.198235,-8.86801e-05,8.86801e-05
-0.299706,-0.000140558,0.000140558
-0.401121,-0.00019623,0.00019623
-0.499427,-0.000253113,0.000253113
-0.600855,-0.000314452,0.000314452
-0.698435,-0.000375434,0.000375434
-0.799921,-0.000440381,0.000440381
-0.901243,-0.000506689,0.000506689
-0.998987,-0.000572056,0.000572056
-1.1001,-0.000640201,0.000640201
-1.19816,-0.000706917,0.000706917
-1.29943,-0.000776737,0.000776737
-1.40057,-0.000847176,0.000847176
-1.49847,-0.000915403,0.000915403
