vRange: ,200
iLimit: ,0.02
iRange: ,
nplc: ,1,delay: ,0.05
data Number:,16
V_meas,I,abs_I
-0.00240606,-1.66164e-06,1.66164e-06
0.0987369,3.57117e-05,3.57117e-05
0.200014,7.14123e-05,7.14123e-05
0.297904,0.000105314,0.000105314
0.399088,0.000141134,0.000141134
0.500507,0.000177651,0.000177651
0.598604,0.000213752,0.000213752
0.699852,0.000252184,0.000252184
0.797522,0.000290428,0.000290428
0.899062,0.000330544,0.000330544
1.00056,0.00037202,0.00037202
1.09837,0.00041246,0.00041246
1.19956,0.000454761,0.000454761
1.29751,0.000496262,0.000496262
1.39884,0.000539774,0.000539774
1.50025,0.000584545,0.000584545
