vRange: ,200
iLimit: ,0.01
iRange: ,
nplc: ,1,delay: ,0.5
data Number:,31
V_meas,I,abs_I
-0.0617049,-1.39779e-12,1.39779e-12
99.9474,8.56982e-10,8.56982e-10
199.942,8.70421e-10,8.70421e-10
299.953,8.744e-10,8.744e-10
399.951,8.83268e-10,8.83268e-10
499.952,8.90763e-10,8.90763e-10
599.954,8.69748e-10,8.69748e-10
699.959,8.47778e-10,8.47778e-10
799.965,8.75155e-10,8.75155e-10
899.972,8.77881e-10,8.77881e-10
999.979,9.11869e-10,9.11869e-10
1099.96,8.63336e-10,8.63336e-10
1199.97,8.90322e-10,8.90322e-10
1299.96,8.84102e-10,8.84102e-10
1399.97,8.68995e-10,8.68995e-10
1499.92,8.65997e-10,8.65997e-10
1599.93,8.70502e-10,8.70502e-10
1699.93,9.07049e-10,9.07049e-10
1799.94,8.80328e-10,8.80328e-10
1899.92,8.8948e-10,8.8948e-10
1999.93,9.02282e-10,9.02282e-10
2099.92,8.86145e-10,8.86145e-10
2199.93,8.67481e-10,8.67481e-10
2299.94,8.70045e-10,8.70045e-10
2399.94,8.70247e-10,8.70247e-10
2499.95,8.83304e-10,8.83304e-10
2599.95,8.74908e-10,8.74908e-10
2699.94,9.02682e-10,9.02682e-10
2799.94,8.45795e-10,8.45795e-10
2899.94,8.91045e-10,8.91045e-10
2999.95,9.27163e-10,9.27163e-10
